trial_number,val_bpb,state,duration_seconds,learning_rate,batch_size,gradient_accumulation_steps,warmup_ratio,weight_decay,lora_r,lora_alpha_multiplier,lora_dropout
0,0.9279209491456066,COMPLETE,240.450722,1.329291894316217e-05,2,8,0.1416145155592091,1.2087541473056957e-05,8,4,0.08638900372842316
1,0.9289874693199697,COMPLETE,201.297974,7.4763120622522945e-06,2,4,0.1184829137724085,1.5339162591163613e-05,64,1,0.019534422801276777
2,0.9533890300952882,PRUNED,71.864044,0.00011290133559092664,8,2,0.10401360423556216,0.0015375920235481753,16,4,0.0176985004103839
3,0.9244545176891896,PRUNED,73.716294,3.87211803217458e-06,8,2,0.02818484499495253,0.016172900811143146,16,2,0.14580143360819747
4,0.9237633656359496,PRUNED,46.593493,0.00020597335357437193,4,1,0.06503666440534941,0.008287522363768155,16,2,0.1541934359909122
5,0.9243244845086472,PRUNED,120.939826,3.0296104428212496e-05,2,4,0.1815132947852186,9.935023909063687e-05,16,4,0.1616240759128834
6,0.9615664599650884,PRUNED,221.703986,7.947147424653752e-05,2,8,0.022010384905535352,8.160948743089913e-05,32,1,0.023973073466736564
7,0.9242914792377225,PRUNED,120.788844,1.0300196600986763e-05,2,4,0.0994497011784771,0.0001597766235483386,32,4,0.04791237813339449
8,0.9246496349991817,PRUNED,69.036476,2.720724805948669e-06,4,2,0.1264611661187159,0.0034207303670092245,32,4,0.1355128723684565
9,0.9293963965332821,PRUNED,240.737535,1.1214075785991133e-06,8,8,0.0682132702100517,2.8437674894443664e-05,8,1,0.04837045818009034
10,0.9221812671313603,COMPLETE,193.587739,1.723847477738828e-05,2,2,0.18205797486182346,2.6196859036162755e-05,8,4,0.061735110880272615
11,0.9321377082322395,PRUNED,211.23034,4.140383807310437e-05,2,8,0.14863484539393756,2.4427280473352996e-05,8,2,0.10060206874364559
12,0.9232996776566352,PRUNED,98.714494,2.7762852308633907e-05,2,2,0.09407102408916411,1.086629802468902e-05,8,4,0.12938870043937858
13,0.9292186018969457,COMPLETE,271.648297,4.12016433681227e-06,2,16,0.19328733906040432,0.00010892040997887338,8,4,0.09551095159249667
14,0.9887801967968485,PRUNED,235.896803,2.0713255733525637e-05,8,8,0.1558958541349349,8.498437771288954e-05,64,4,0.0805548966558722
15,0.9354867903658536,PRUNED,174.272706,3.082184394402935e-05,2,4,0.18330204488955118,6.602234718565354e-05,8,4,0.004971719954287135
16,0.9546578953974056,PRUNED,73.585567,0.0003830637124498204,8,2,0.1980603857536891,2.5469870530432194e-05,16,4,0.06303037069334204
17,0.9284799833089916,PRUNED,73.565444,2.134858166282092e-06,8,2,0.1399233535064283,7.451941033458464e-05,8,4,0.017165153624152663
18,0.9260234854518078,PRUNED,44.506715,9.422236558768802e-06,4,1,0.15887199402557353,1.2676567341689157e-05,8,4,0.043950161646936166
19,0.9246269913639059,PRUNED,69.274003,0.0001522011693261697,2,2,0.19116903813205005,0.0002195962734164469,8,4,0.10512088240586034
20,0.9266710612270205,PRUNED,44.456152,0.0007197080940155213,2,1,0.124942937189011,4.8243528572900935e-05,8,4,0.06126519939099923
21,0.9243523162784918,PRUNED,120.890348,1.2762535517851918e-05,2,4,0.06137111199878038,4.1589387320415904e-05,64,1,0.004722202114120553
22,0.9254547391545411,PRUNED,222.410263,8.932758635858317e-06,2,8,0.16843637397549976,1.200679691025811e-05,32,4,0.07691403591785803
23,0.9435779456889208,PRUNED,177.325222,1.733076948668411e-05,4,4,0.16185102561995368,1.1290595733876743e-05,64,1,0.03500977755708727
24,0.9257895443706553,PRUNED,220.02645,4.650361995154129e-06,2,8,0.0999775861195438,2.7258205812982307e-05,8,4,0.06668293837108236
25,0.9324915561197574,PRUNED,174.586214,2.6088327011334056e-05,2,4,0.14506433708187,0.00013899131712728023,16,1,0.06512268054591097
26,0.927803111289412,PRUNED,69.768803,6.706952366246943e-06,2,2,0.1825614304847702,1.117498233340291e-05,32,1,0.051652500747366284
27,0.9270918077965863,PRUNED,69.216871,8.402196506032124e-06,2,2,0.18821285056927523,2.124702660551375e-05,8,4,0.060839710438494045
28,0.9240622231242585,COMPLETE,252.371678,6.685331843915352e-06,2,8,0.12493302143092944,1.0809416316720912e-05,64,1,0.011468060116040362
29,0.9391790525737272,PRUNED,214.203783,2.473939381625646e-05,2,8,0.12126083481829003,1.4370285434942356e-05,64,1,0.050379635470743596
30,0.9268401759532549,PRUNED,68.198501,7.095605357135394e-06,2,2,0.1448155324921689,0.00036438553962550476,16,2,0.057262991394371625
31,0.92709541326307,COMPLETE,271.581868,5.1312493719687225e-06,2,16,0.11727290801316939,1.4327947775570169e-05,32,2,0.0319768383905244
32,0.926098141008517,COMPLETE,262.370435,5.971372227370557e-06,2,16,0.09377566012874214,0.0001281575321909793,32,2,0.05626422445950206
33,0.9287742942849282,COMPLETE,262.381872,2.3807366621973016e-06,2,16,0.13357710601624845,2.214781825883073e-05,32,2,0.0037919939096951877
34,0.9268702106259744,COMPLETE,290.873021,5.274765895712069e-06,8,16,0.09686490054239914,0.0005806002586031978,32,2,0.056878677712843446
35,0.9242019099047274,COMPLETE,242.34086,4.134370737462245e-06,2,8,0.09615178192804495,0.0006947916486663127,32,2,0.0914092113180888
36,0.9261480851054323,COMPLETE,263.039995,3.6729807316072404e-06,2,16,0.05515302626795466,0.0007139618144713052,32,2,0.13496803210917827
37,0.9260649049787321,COMPLETE,242.410292,3.8892279355206535e-06,2,8,0.09786035749443349,0.00116807348149364,64,2,0.11774225661217896
38,0.9283376636262106,PRUNED,213.448479,1.558702869523355e-06,2,8,0.14393649076388446,0.0008588770768392723,32,2,0.1579933972216142
39,0.9345646374370359,PRUNED,220.337058,7.237929876369785e-06,2,8,0.05548071873486999,0.002567779352445061,64,2,0.12305285962117013
40,0.9270506212798282,COMPLETE,250.677323,4.8273550797691135e-06,2,8,0.11902960699072435,1.0350440457076376e-05,64,2,0.002121611070394557
41,0.9254363684979643,PRUNED,213.32861,5.443791334408518e-06,2,8,0.0941523014038971,0.00013923844012613058,32,1,0.12578080670352132
42,0.9244942689984027,PRUNED,220.19261,6.177082878953114e-06,2,8,0.1457930798722059,0.0058799571413722515,32,2,0.05579097486711776
43,0.9262158359067835,PRUNED,223.762136,1.7789551410335944e-06,4,8,0.1613573598796908,0.0006342520365574342,64,2,0.13253522611380641
44,0.9259695329046428,PRUNED,70.246196,2.0545076299002114e-06,2,2,0.11042593128421771,0.00227597670780345,64,2,0.10331564236573579
45,0.9251504695267215,PRUNED,221.525579,3.0562898134583004e-06,2,8,0.0930176834630689,9.35727233475461e-05,32,2,0.08404802202877723
46,0.9285064046356566,PRUNED,176.18383,4.1103716297449205e-06,2,4,0.10572322831018995,0.006435797998226974,64,4,0.15762371728684782
47,0.9287212084905553,COMPLETE,269.699827,1.865106042991288e-06,2,16,0.048541844305420336,8.976543480049104e-05,16,2,0.0678392048100148
48,0.9334283526681467,PRUNED,113.622316,1.5728519038119128e-05,4,4,0.06317468335618424,0.000192111647160417,32,2,0.08559045931315215
49,0.9289019196937538,COMPLETE,268.658408,9.655948075996789e-06,2,16,0.08903287614851885,0.00011443859155174325,8,1,0.04073318371569771
