trial_number,val_bpb,state,duration_seconds,learning_rate,batch_size,gradient_accumulation_steps,warmup_ratio,weight_decay,lora_r,lora_alpha_multiplier,lora_dropout
0,0.7585607261297374,COMPLETE,789.38825,1.329291894316217e-05,2,8,0.1416145155592091,1.2087541473056957e-05,8,4,0.08638900372842316
1,0.7034886373964804,COMPLETE,730.038042,7.4763120622522945e-06,2,4,0.1184829137724085,1.5339162591163613e-05,64,1,0.019534422801276777
2,0.6324110290799185,COMPLETE,2200.445884,0.00011290133559092664,8,2,0.10401360423556216,0.0015375920235481753,16,4,0.0176985004103839
3,0.8238598208471434,PRUNED,578.300101,3.87211803217458e-06,8,2,0.02818484499495253,0.016172900811143146,16,2,0.14580143360819747
4,0.6758843642899454,PRUNED,189.299216,0.00020597335357437193,4,1,0.06503666440534941,0.008287522363768155,16,2,0.1541934359909122
5,0.7298134691465807,PRUNED,355.788572,3.0296104428212496e-05,2,4,0.1815132947852186,9.935023909063687e-05,16,4,0.1616240759128834
6,0.6571065933857015,COMPLETE,791.359832,7.947147424653752e-05,2,8,0.022010384905535352,8.160948743089913e-05,32,1,0.023973073466736564
7,0.7291026065829558,PRUNED,354.245604,1.0300196600986763e-05,2,4,0.0994497011784771,0.0001597766235483386,32,4,0.04791237813339449
8,0.8195944343020801,PRUNED,328.495396,2.720724805948669e-06,4,2,0.1264611661187159,0.0034207303670092245,32,4,0.1355128723684565
9,0.8634583688517794,PRUNED,2154.500776,1.1214075785991133e-06,8,8,0.0682132702100517,2.8437674894443664e-05,8,1,0.04837045818009034
10,0.6498474605299096,PRUNED,978.757307,7.056739731168899e-05,8,2,0.16923953377342948,0.00020367982310055276,16,4,0.030530326553944477
11,0.6565616183372837,COMPLETE,792.132936,5.38512541219244e-05,2,8,0.03346838915845432,2.4063826843067284e-05,32,1,0.11087805841736141
12,0.6597040082945469,COMPLETE,793.26593,7.349192845247491e-05,2,8,0.006861151607008335,1.0835674223237558e-05,16,1,0.16759467381338747
13,1.0981062673427697,PRUNED,579.332065,0.000299234940232441,8,2,0.09115526517570069,0.09177682080898426,64,4,0.012343636981978585
14,0.6519977961567218,COMPLETE,1383.212727,9.35918888809921e-05,4,8,0.0073220824943383035,0.0002606754000625059,32,2,0.14818907756168048
15,1.0261399265646056,COMPLETE,1391.673362,0.0003959929073619136,4,8,0.053942716832031765,4.0385073168827944e-05,64,2,0.1584434411916798
16,0.6883131275736731,PRUNED,1163.001584,3.488741324399334e-05,4,8,0.08157176639099091,0.0007241195509277477,32,1,0.1924815567792924
17,0.6525661081571729,COMPLETE,1383.589527,5.888270894907142e-05,4,8,0.009297285166690341,0.0006189474312363637,32,2,0.12760838046736386
18,0.6703881164387706,PRUNED,312.936317,0.00014737331139048427,8,1,0.09730543800756737,0.0014353357775226433,8,4,0.003632640543822745
19,0.6884452879935795,COMPLETE,1444.490066,0.0007526133305189131,4,16,0.096304405696957,0.010092150889611948,16,4,0.013531927668732867
